tiempo,fuerza,desplazamiento,timestamp,deformacion,esfuerzo
1,0.384,0.12,1779646500.747,0.0024,0.032
2,0.29,0.24,1779646501.75,0.0048,0.024167
3,0.49,0.36,1779646502.748,0.0072,0.040833
4,0.842,0.48,1779646503.75,0.0096,0.070167
5,1.089,0.6,1779646504.749,0.012,0.09075
6,1.39,0.72,1779646505.748,0.0144,0.115833
7,1.404,0.84,1779646506.749,0.0168,0.117
8,1.66,0.96,1779646507.75,0.0192,0.138333
9,1.884,1.08,1779646508.745,0.0216,0.157
10,1.963,1.2,1779646509.745,0.024,0.163583
11,2.435,1.32,1779646510.744,0.0264,0.202917
12,2.725,1.44,1779646511.744,0.0288,0.227083
13,2.867,1.56,1779646512.746,0.0312,0.238917
14,2.965,1.68,1779646513.749,0.0336,0.247083
15,3.361,1.8,1779646514.75,0.036,0.280083
16,3.286,1.92,1779646515.75,0.0384,0.273833
17,3.48,2.04,1779646516.75,0.0408,0.29
18,3.982,2.16,1779646517.751,0.0432,0.331833
19,4.185,2.28,1779646518.749,0.0456,0.34875
20,4.186,2.4,1779646519.747,0.048,0.348833
21,4.525,2.52,1779646520.748,0.0504,0.377083
22,4.571,2.64,1779646521.751,0.0528,0.380917
23,4.882,2.76,1779646522.75,0.0552,0.406833
24,5.353,2.88,1779646523.751,0.0576,0.446083
25,5.288,3.0,1779646524.751,0.06,0.440667
26,5.706,3.12,1779646525.75,0.0624,0.4755
27,5.82,3.24,1779646526.75,0.0648,0.485
28,5.877,3.36,1779646527.75,0.0672,0.48975
29,6.428,3.48,1779646528.751,0.0696,0.535667
30,6.455,3.6,1779646529.751,0.072,0.537917
31,6.806,3.72,1779646530.749,0.0744,0.567167
32,6.938,3.84,1779646531.749,0.0768,0.578167
33,7.024,3.96,1779646532.749,0.0792,0.585333
34,7.359,4.08,1779646533.749,0.0816,0.61325
35,7.708,4.2,1779646534.745,0.084,0.642333
36,7.843,4.32,1779646535.75,0.0864,0.653583
37,7.958,4.44,1779646536.75,0.0888,0.663167
38,8.243,4.56,1779646537.752,0.0912,0.686917
39,8.493,4.68,1779646538.749,0.0936,0.70775
40,8.691,4.8,1779646539.751,0.096,0.72425
41,8.783,4.92,1779646540.745,0.0984,0.731917
42,8.957,5.04,1779646541.744,0.1008,0.746417
43,9.324,5.16,1779646542.746,0.1032,0.777
44,9.318,5.28,1779646543.745,0.1056,0.7765
45,9.784,5.4,1779646544.748,0.108,0.815333
46,10.006,5.52,1779646545.746,0.1104,0.833833
47,9.963,5.64,1779646546.749,0.1128,0.83025
48,10.559,5.76,1779646547.744,0.1152,0.879917
49,10.726,5.88,1779646548.748,0.1176,0.893833
50,10.797,6.0,1779646549.745,0.12,0.89975
51,10.901,6.12,1779646550.75,0.1224,0.908417
52,10.942,6.24,1779646551.751,0.1248,0.911833
53,10.944,6.36,1779646552.744,0.1272,0.912
54,10.925,6.48,1779646553.744,0.1296,0.910417
55,11.049,6.6,1779646554.747,0.132,0.92075
56,11.295,6.72,1779646555.746,0.1344,0.94125
57,11.354,6.84,1779646556.743,0.1368,0.946167
58,11.157,6.96,1779646557.745,0.1392,0.92975
59,11.33,7.08,1779646558.744,0.1416,0.944167
60,11.282,7.2,1779646559.744,0.144,0.940167
61,11.445,7.32,1779646560.744,0.1464,0.95375
62,11.56,7.44,1779646561.745,0.1488,0.963333
63,11.651,7.56,1779646562.744,0.1512,0.970917
64,11.746,7.68,1779646563.744,0.1536,0.978833
65,11.736,7.8,1779646564.745,0.156,0.978
66,11.562,7.92,1779646565.746,0.1584,0.9635
67,11.795,8.04,1779646566.745,0.1608,0.982917
68,12.052,8.16,1779646567.744,0.1632,1.004333
69,11.784,8.28,1779646568.744,0.1656,0.982
