tiempo,fuerza,desplazamiento,timestamp,deformacion,esfuerzo
1,0.041,0.12,1779596136.078,0.0024,0.003417
2,0.344,0.24,1779596137.083,0.0048,0.028667
3,0.517,0.36,1779596138.087,0.0072,0.043083
4,0.686,0.48,1779596139.091,0.0096,0.057167
5,0.932,0.6,1779596139.542,0.012,0.077667
6,1.404,0.72,1779596140.551,0.0144,0.117
7,1.498,0.84,1779596141.541,0.0168,0.124833
8,1.558,0.96,1779596141.981,0.0192,0.129833
9,2.031,1.08,1779596142.994,0.0216,0.16925
10,2.219,1.2,1779596143.98,0.024,0.184917
11,2.259,1.32,1779596144.913,0.0264,0.18825
12,2.59,1.44,1779596145.912,0.0288,0.215833
13,2.681,1.56,1779596146.918,0.0312,0.223417
14,3.11,1.68,1779596147.522,0.0336,0.259167
15,3.163,1.8,1779596148.538,0.036,0.263583
16,3.541,1.92,1779596154.525,0.0384,0.295083
17,3.719,2.04,1779596155.527,0.0408,0.309917
18,3.781,2.16,1779596156.532,0.0432,0.315083
19,4.253,2.28,1779596157.534,0.0456,0.354417
20,4.36,2.4,1779596158.525,0.048,0.363333
21,4.623,2.52,1779596159.53,0.0504,0.38525
22,4.788,2.64,1779596160.526,0.0528,0.399
23,5.044,2.76,1779596161.538,0.0552,0.420333
24,5.266,2.88,1779596162.525,0.0576,0.438833
25,5.304,3.0,1779596163.529,0.06,0.442
26,5.439,3.12,1779596164.532,0.0624,0.45325
27,5.67,3.24,1779596165.536,0.0648,0.4725
28,5.9,3.36,1779596166.526,0.0672,0.491667
29,6.426,3.48,1779596228.537,0.0696,0.5355
30,6.341,3.6,1779596229.527,0.072,0.528417
31,6.601,3.72,1779596230.531,0.0744,0.550083
32,7.096,3.84,1779596231.539,0.0768,0.591333
33,7.241,3.96,1779596232.534,0.0792,0.603417
34,7.498,4.08,1779596233.539,0.0816,0.624833
35,7.736,4.2,1779596234.527,0.084,0.644667
36,7.676,4.32,1779596235.53,0.0864,0.639667
37,7.834,4.44,1779596236.539,0.0888,0.652833
38,8.224,4.56,1779596239.036,0.0912,0.685333
39,8.486,4.68,1779596239.103,0.0936,0.707167
40,8.616,4.8,1779596241.039,0.096,0.718
41,8.707,4.92,1779596241.111,0.0984,0.725583
42,9.165,5.04,1779596243.038,0.1008,0.76375
43,9.105,5.16,1779596243.132,0.1032,0.75875
44,9.373,5.28,1779596245.03,0.1056,0.781083
45,9.554,5.4,1779596245.14,0.108,0.796167
46,10.082,5.52,1779596247.035,0.1104,0.840167
47,10.016,5.64,1779596247.132,0.1128,0.834667
48,10.28,5.76,1779596249.035,0.1152,0.856667
49,10.587,5.88,1779596249.137,0.1176,0.88225
50,10.611,6.0,1779596250.527,0.12,0.88425
51,11.06,6.12,1779596250.547,0.1224,0.921667
52,10.826,6.24,1779596253.034,0.1248,0.902167
53,11.015,6.36,1779596253.109,0.1272,0.917917
54,10.846,6.48,1779596255.035,0.1296,0.903833
55,11.089,6.6,1779596255.116,0.132,0.924083
56,11.14,6.72,1779596257.042,0.1344,0.928333
57,11.141,6.84,1779596257.164,0.1368,0.928417
58,11.127,6.96,1779596259.029,0.1392,0.92725
59,11.5,7.08,1779596259.144,0.1416,0.958333
60,11.311,7.2,1779596261.031,0.144,0.942583
61,11.514,7.32,1779596261.139,0.1464,0.9595
62,11.4,7.44,1779596263.039,0.1488,0.95
63,11.527,7.56,1779596263.156,0.1512,0.960583
64,11.687,7.68,1779596265.043,0.1536,0.973917
65,11.606,7.8,1779596265.177,0.156,0.967167
66,11.723,7.92,1779596267.031,0.1584,0.976917
67,11.884,8.04,1779596267.154,0.1608,0.990333
68,11.886,8.16,1779596269.033,0.1632,0.9905
69,11.853,8.28,1779596269.166,0.1656,0.98775
70,12.109,8.4,1779596271.036,0.168,1.009083
71,11.965,8.52,1779596271.173,0.1704,0.997083
72,12.281,8.64,1779596273.042,0.1728,1.023417
73,12.208,8.76,1779596273.207,0.1752,1.017333
74,12.393,8.88,1779596275.03,0.1776,1.03275
75,12.225,9.0,1779596275.177,0.18,1.01875
76,12.323,9.12,1779596277.038,0.1824,1.026917
77,12.521,9.24,1779596277.167,0.1848,1.043417
78,12.466,9.36,1779596279.039,0.1872,1.038833
79,12.604,9.48,1779596279.166,0.1896,1.050333
80,12.452,9.6,1779596281.038,0.192,1.037667
81,12.63,9.72,1779596281.165,0.1944,1.0525
82,12.571,9.84,1779596283.039,0.1968,1.047583
83,12.723,9.96,1779596283.18,0.1992,1.06025
84,12.702,10.08,1779596285.028,0.2016,1.0585
85,12.813,10.2,1779596285.162,0.204,1.06775
86,13.089,10.32,1779596287.037,0.2064,1.09075
87,13.178,10.44,1779596287.188,0.2088,1.098167
88,13.061,10.56,1779596289.028,0.2112,1.088417
89,13.054,10.68,1779596289.182,0.2136,1.087833
90,13.113,10.8,1779596291.035,0.216,1.09275
91,12.862,10.92,1779596291.229,0.2184,1.071833
92,12.86,11.04,1779596293.044,0.2208,1.071667
93,12.549,11.16,1779596293.201,0.2232,1.04575
94,12.671,11.28,1779596295.031,0.2256,1.055917
95,12.541,11.4,1779596295.201,0.228,1.045083
96,12.316,11.52,1779596297.036,0.2304,1.026333
97,12.1,11.64,1779596297.186,0.2328,1.008333
98,11.764,11.76,1779596299.028,0.2352,0.980333
99,11.769,11.88,1779596299.18,0.2376,0.98075
100,11.6,12.0,1779596301.034,0.24,0.966667
101,11.335,12.12,1779596301.19,0.2424,0.944583
102,10.847,12.24,1779596303.043,0.2448,0.903917
103,10.642,12.36,1779596303.208,0.2472,0.886833
104,10.581,12.48,1779596305.03,0.2496,0.88175
105,10.397,12.6,1779596305.196,0.252,0.866417
106,10.419,12.72,1779596307.033,0.2544,0.86825
107,10.227,12.84,1779596307.205,0.2568,0.85225
108,9.919,12.96,1779596309.039,0.2592,0.826583
109,9.59,13.08,1779596309.22,0.2616,0.799167
110,9.548,13.2,1779596311.03,0.264,0.795667
111,9.663,13.32,1779596311.191,0.2664,0.80525
112,9.048,13.44,1779596313.032,0.2688,0.754
113,8.974,13.56,1779596313.211,0.2712,0.747833
114,9.084,13.68,1779596315.032,0.2736,0.757
115,8.691,13.8,1779596315.218,0.276,0.72425
116,8.501,13.92,1779596317.037,0.2784,0.708417
117,8.471,14.04,1779596317.22,0.2808,0.705917
118,8.119,14.16,1779596319.044,0.2832,0.676583
119,8.018,14.28,1779596319.227,0.2856,0.668167
120,7.619,14.4,1779596321.035,0.288,0.634917
